id,year,school,school_composition,school_involvement,sep,sep_alpha,sep_beta,oa_1,oa_2,oa_3,oa_4,tr_1,tr_2,em_1,em_2,em_3,em_4,ia_1,ia_2,wc_1,wc_2,cq_1,cq_2,cq_3,cq_4,cq_5,mb_1,mb_2,dp_1,dp_2,mb_3,mb_4,mb_5
18,10,49,catholic,1,NA,8.19722792979518,68.0984442126456,5,5,5,5,5,5,5,5,4,5,1,1,5,5,5,5,5,4,5,5,5,5,5,4,5,5
18,12,49,catholic,1,NA,8.19722792979518,68.0984442126456,5,5,5,5,5,5,5,5,5,5,1,1,5,5,1,5,5,3,5,5,5,4,5,3,5,5
19,8,48,catholic,3,NA,10.359029246587987,35.5226804437105,3,3,3,3,3,2,1,1,4,5,1,1,3,3,1,1,1,3,4,4,5,3,5,3,5,3
19,9,48,catholic,3,NA,10.359029246587987,35.5226804437105,1,1,NA,1,NA,2,3,3,3,3,3,4,3,3,1,4,3,1,1,5,5,5,5,5,5,3
19,10,48,catholic,3,NA,10.359029246587987,35.5226804437105,4,3,3,3,3,2,4,1,5,3,1,1,4,3,1,3,1,2,2,5,5,3,5,NA,NA,NA
19,11,48,catholic,3,NA,10.359029246587987,35.5226804437105,3,3,3,4,3,3,3,3,3,3,3,3,4,3,3,3,3,1,1,5,5,2,5,3,5,3
19,12,48,catholic,3,NA,10.359029246587987,35.5226804437105,4,3,4,3,3,4,3,3,4,5,5,4,3,3,3,3,3,3,1,5,5,3,3,5,5,5
20,8,56,catholic,3,0,NA,NA,4,4,4,4,4,4,3,2,4,4,1,1,4,4,1,3,2,2,3,4,4,4,4,5,5,5
20,9,56,catholic,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,3,3,2,3,NA,NA,NA,NA,NA,NA,NA
20,10,56,catholic,3,0,NA,NA,5,5,5,5,5,5,3,3,5,5,1,1,5,5,1,1,1,1,1,5,5,4,4,5,5,5
20,11,56,catholic,3,0,NA,NA,5,5,5,4,5,5,5,5,5,5,1,1,5,5,1,2,3,1,1,5,5,5,5,5,5,5
20,12,56,catholic,3,0,NA,NA,5,5,4,4,4,4,5,3,5,5,1,1,5,5,1,2,2,1,1,5,5,3,5,5,5,5
23,8,54,catholic,1,NA,1.1549541465938091,33.583378706686645,4,3,4,4,3,3,3,4,3,5,1,1,3,3,1,2,2,2,3,3,3,2,4,4,5,4
23,9,54,catholic,1,NA,1.1549541465938091,33.583378706686645,5,5,5,5,5,5,1,3,5,5,1,1,5,5,5,5,5,2,2,5,5,5,5,5,5,5
23,10,54,catholic,1,NA,1.1549541465938091,33.583378706686645,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,2,2,2,3,3,3,3,3,3,3
23,12,54,catholic,1,NA,1.1549541465938091,33.583378706686645,5,5,5,5,5,5,1,5,3,5,1,1,3,3,3,2,3,1,1,5,5,4,5,3,5,5
24,8,55,protestant,3,NA,10.96817600331497,4.325125512354054,4,4,4,4,4,4,3,3,4,4,3,1,4,4,1,2,1,2,2,3,4,2,4,4,5,5
24,9,55,protestant,3,NA,10.96817600331497,4.325125512354054,4,4,4,2,4,4,5,4,3,3,1,1,3,3,1,5,5,3,3,2,2,4,4,4,4,4
24,10,55,protestant,3,NA,10.96817600331497,4.325125512354054,3,3,3,3,3,3,3,3,2,2,2,2,3,3,1,2,1,2,2,1,1,3,3,3,2,2
24,11,55,protestant,3,NA,10.96817600331497,4.325125512354054,4,4,4,4,3,4,4,4,4,4,4,2,5,5,4,4,1,2,2,1,5,5,5,4,4,5
24,12,55,protestant,3,NA,10.96817600331497,4.325125512354054,1,1,1,5,1,NA,1,1,1,1,5,1,1,1,3,3,1,4,3,1,1,5,5,1,1,1
26,8,52,catholic,1,NA,1.6566235757858134,41.30087152722676,3,3,3,3,4,4,2,2,3,2,2,2,2,1,2,1,1,1,1,5,3,3,5,5,4,3
26,9,52,catholic,1,NA,1.6566235757858134,41.30087152722676,NA,NA,NA,1,NA,NA,1,1,1,1,1,2,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
26,10,52,catholic,1,NA,1.6566235757858134,41.30087152722676,3,3,2,1,2,2,1,1,2,2,1,1,1,1,2,1,2,2,1,1,1,3,5,5,4,2
26,11,52,catholic,1,NA,1.6566235757858134,41.30087152722676,3,3,3,3,3,3,1,1,1,1,1,1,3,1,1,1,2,1,2,1,3,5,5,NA,NA,NA
27,8,25,catholic,3,0,NA,NA,4,3,4,4,3,3,4,4,3,NA,1,1,4,4,4,3,4,3,4,5,5,2,2,4,4,5
27,9,25,catholic,3,0,NA,NA,5,5,5,5,5,5,4,5,3,4,1,2,4,3,3,5,3,3,5,4,5,4,4,5,5,5
27,10,25,catholic,3,0,NA,NA,3,3,3,5,5,5,3,4,3,3,1,1,3,3,3,3,1,3,4,4,4,3,4,5,4,4
